"","GENECARDS","ID"
"1","MFSD13A","Q14CX5"
"2","SELENOO","Q9BVL4"
"3","SELENOT","P62341"
"4","PLAAT1","Q9HDD0"
"5","MICOS10-NBL1","R4GMM1"
"6","MICOS10-NBL1","R4GMY4"
"7","MICOS10-NBL1","R4GNA1"
"8","ARMCX5","Q6P1M9"
"9","RXYLT1","Q9Y2B1"
"10","TAFA5","Q7Z5A7"
"11","GAREM2","Q75VX8"
"12","ATP5PB","P24539"
"13","WASHC4","Q2M389"
"14","BBOF1","Q8ND07"
"15","BMERB1","Q96MC5"
"16","TMEM94","Q12767"
"17","SLC66A3","Q8N755"
"18","GUCY1A1","Q02108"
"19","TENT2","Q6PIY7"
"20","DELE1","Q14154"
"21","CNOT9","Q92600"
"22","KMT5A","Q9NQR1"
"23","ZNF664","Q8N3J9"
"24","TOGARAM1","Q9Y4F4"
"25","UTP4","Q969X6"
"26","REX1BD","Q96EN9"
"27","MIGA2","Q7L4E1"
"28","NSD2","O96028"
"29","MFSD4A","Q8N468"
"30","PCNX1","Q96RV3"
"31","ARMH1","Q6PIY5"
"32","FAM241B","Q96D05"
"33","DOP1A","Q5JWR5"
"34","RELCH","Q9P260"
"35","FAM241A","Q8N8J7"
"36","DIPK1B","Q5VUD6"
"37","MFSD14B","Q5SR56"
"38","QTRT2","Q9H974"
"39","TMEM131L","A2VDJ0"
"40","DLGAP2","Q9P1A6"
"41","SMIM26","A0A096LP01"
"42","NECTIN3","Q9NQS3"
"43","BABAM2","Q9NXR7"
"44","FMC1-LUC7L2","A0A0A6YYJ8"
"45","ERBIN","Q96RT1"
"46","NBDY","A0A0U1RRE5"
"47","WASHC2C","Q9Y4E1"
"48","CFAP299","Q6V702"
"49","COQ8A","Q8NI60"
"50","NUP42","O15504"
"51","MTREX","P42285"
"52","YJU2","Q9BW85"
"53","BICDL1","Q6ZP65"
"54","SEPTIN2","Q15019"
"55","COP1","Q8NHY2"
"56","JCAD","Q9P266"
"57","WASHC3","Q9Y3C0"
"58","MEAK7","Q6P9B6"
"59","SLC66A2","Q8N2U9"
"60","MTSS2","Q765P7"
"61","ELOC","Q15369"
"62","PIP4P2","Q8N4L2"
"63","SPART","Q8N0X7"
"64","TMEM272","A0A1B0GTI8"
"65","EIPR1","Q53HC9"
"66","PAK5","Q9P286"
"67","CIP2A","Q8TCG1"
"68","PLAAT3","P53816"
"69","ARPIN-AP3S2","H0YL85"
"70","ARPIN-AP3S2","H0YMK0"
"71","CIAO2A","Q9H5X1"
"72","INTS14","Q96SY0"
"73","RIPOR3","Q96MK2"
"74","FLACC1","Q96Q35"
"75","THAP12","O43422"
"76","STPG4","Q8N801"
"77","PACC1","Q9H813"
"78","ECPAS","Q5VYK3"
"79","WHRN","Q9P202"
"80","MFSD14C","Q5VZR4"
"81","TLE5","Q08117"
"82","NIBAN2","Q96TA1"
"83","SELENOF","O60613"
"84","ELF1","P32519"
"85","CCNQ","Q8N1B3"
"86","TUT4","Q5TAX3"
"87","POGLUT3","Q7Z4H8"
"88","DIPK2B","Q9H7Y0"
"89","LARGE1","O95461"
"90","ELP1","O95163"
"91","ELOB","Q15370"
"92","SHISAL1","Q3SXP7"
"93","EEF1AKMT2","Q5JPI9"
"94","KMT5B","Q4FZB7"
"95","HPF1","Q9NWY4"
"96","LHFPL6","Q9Y693"
"97","LY75","O60449"
"98","KYAT1","Q16773"
"99",NA,NA
